"C","S","n","alpha"
0,0.,805,53
0,0.005906577696627284,805,53
0,0.,805,53
0,-0.00575186037528539,805,53
0,0.,805,53
0,0.005599856592814488,805,53
0,0.,805,53
0,-0.005450563163670875,805,53
0,0.,805,53
0,0.005303975361724059,805,53
0,0.,805,53
0,-0.005160086952123052,805,53
0,0.,805,53
0,0.005018890224363159,805,53
0,0.,805,53
0,-0.0048803760264826525,805,53
0,0.,805,53
0,0.004744533800317997,805,53
0,0.,805,53
0,-0.004611351617745788,805,53
0,0.,805,53
0,0.004480816217839155,805,53
0,0.,805,53
0,-0.004352913044866169,805,53
0,0.,805,53
0,0.0042276262870577525,805,53
0,0.,805,53
0,-0.0041049389160726125,805,53
0,0.,805,53
0,0.003984832727087012,805,53
0,0.,805,53
0,-0.003867288379437528,805,53
0,0.,805,53
0,0.0037522854377454594,805,53
0,0.,805,53
0,-0.0036398024134522322,805,53
0,0.,805,53
0,0.0035298168066958784,805,53
0,0.,805,53
0,-0.003422305148459625,805,53
0,0.,805,53
0,0.0033172430429246236,805,53
0,0.,805,53
0,-0.0032146052099600217,805,53
0,0.,805,53
0,0.0031143655276848203,805,53
0,0.,805,53
0,-0.003016497075037345,805,53
0,0.,805,53
0,0.0029209721742896122,805,53
0,0.,805,53
0,-0.00282776243344543,805,53
0,0.,805,53
0,0.002736838788462751,805,53
0,0.,805,53
0,-0.0026481715452424913,805,53
0,0.,805,53
0,0.002561730421327864,805,53
0,0.,805,53
0,-0.0024774845872601588,805,53
0,0.,805,53
0,0.002395402707538827,805,53
0,0.,805,53
0,-0.0023154529811357637,805,53
0,0.,805,53
0,0.002237603181515701,805,53
0,0.,805,53
0,-0.0021618206961167693,805,53
0,0.,805,53
0,0.0020880725652473965,805,53
0,0.,805,53
0,-0.002016325520357906,805,53
0,0.,805,53
0,0.0019465460216473763,805,53
0,0.,805,53
0,-0.0018787002949685605,805,53
0,0.,805,53
0,0.0018127543679958957,805,53
0,0.,805,53
0,-0.0017486741056238937,805,53
0,0.,805,53
0,0.0016864252445654695,805,53
0,0.,805,53
0,-0.0016259734271220087,805,53
0,0.,805,53
0,0.0015672842340992436,805,53
0,0.,805,53
0,-0.0015103232168452415,805,53
0,0.,805,53
0,0.0014550559283890367,805,53
0,0.,805,53
0,-0.001401447953660647,805,53
0,0.,805,53
0,0.0013494649387753934,805,53
0,0.,805,53
0,-0.001299072619367595,805,53
0,0.,805,53
0,0.0012502368479608281,805,53
0,0.,805,53
0,-0.0012029236203640202,805,53
0,0.,805,53
0,0.0011570991010846886,805,53
0,0.,805,53
0,-0.0011127296477526224,805,53
